maker,deliver_time,discount,category,sub_category,price,profit,sell_num
33,2.75,0,3,14,4,0.17,3
25,4.25,2,1,8,4,-0.12,0
59,3.333333333333333,2,3,13,1,0.34,0
41,5.0,2,1,4,4,0.1039999999999999,2
50,5.0,0,1,12,4,0.46,1
8,3.5,2,3,6,0,0.0425,2
68,4.333333333333333,1,1,16,4,-1.018333333333333,0
50,3.0,0,1,12,4,0.36,0
53,4.0,1,1,1,4,0.244,3
36,5.0,4,3,17,2,-0.83,2
27,3.8,3,2,10,4,-0.4439999999999999,3
62,3.5,2,2,9,1,0.2299999999999999,0
40,3.333333333333333,3,2,11,0,-0.3066666666666667,2
43,4.083333333333333,1,2,9,0,-0.1833333333333333,0
3,3.7777777777777777,1,1,3,4,0.2344444444444444,0
68,3.6,3,1,16,4,-0.404,0
9,5.25,0,1,7,4,0.32,3
3,3.0,2,1,3,4,0.1159999999999999,0
66,4.0,0,2,11,4,0.4,0
14,3.0,0,1,7,4,0.43,1
24,3.4444444444444446,2,3,6,4,0.2655555555555555,0
7,3.0,2,1,3,4,0.376,3
66,3.0,0,2,11,0,0.46,1
30,3.2222222222222223,0,1,15,0,0.12,2
29,4.666666666666667,0,1,3,4,0.16,0
20,4.75,2,2,11,4,0.2075,2
22,3.5,0,1,1,4,0.26,3
17,5.5,1,2,10,4,0.185,0
58,4.2,0,2,10,4,0.3,0
16,3.75,1,3,6,0,-0.175,2
35,3.25,0,1,15,0,0.33,2
28,3.5,0,1,15,0,0.08,2
31,5.0,1,3,6,2,0.165,3
33,4.285714285714286,2,3,14,0,0.3342857142857143,0
69,5.0,2,3,14,4,0.2066666666666666,0
21,4.857142857142857,2,2,9,0,0.3342857142857142,0
46,4.8,2,1,4,0,0.23,0
62,2.0,0,2,9,0,0.38,0
68,3.8,1,1,16,4,-0.686,0
31,3.571428571428572,0,3,6,0,0.3642857142857142,3
49,5.285714285714286,2,3,13,0,0.3571428571428571,3
32,5.8,2,3,13,1,0.1119999999999999,0
33,6.0,3,1,8,4,-0.47,4
50,5.5,3,3,17,3,-0.125,2
31,3.0,3,3,6,4,-0.33,0
28,4.428571428571429,0,1,15,4,0.39,3
50,4.0,2,3,6,2,0.354,0
70,4.0,3,1,16,4,-0.82,0
3,2.6,2,1,3,4,-0.2019999999999999,2
66,3.75,1,2,11,2,-0.255,2
41,4.666666666666667,0,1,4,4,0.36,4
31,3.333333333333333,0,1,12,4,0.29,0
33,4.5,1,1,8,4,0.04,0
35,2.833333333333333,0,1,12,4,0.42,3
72,5.0,0,2,5,4,0.03,2
59,4.0,2,3,13,0,0.15,3
18,4.428571428571429,2,1,1,4,-0.0585714285714285,2
71,2.5,4,3,17,1,-1.38,0
59,4.0,2,3,13,0,0.196,3
62,5.0,2,2,9,0,0.1399999999999999,3
55,5.333333333333333,0,1,7,4,0.32,3
28,4.333333333333333,0,1,15,4,0.09,0
31,3.8,2,3,6,0,0.246,3
39,5.0,0,1,2,4,0.32,3
25,4.5,2,1,8,4,-4.625929269271485e-18,0
62,3.4285714285714284,2,2,9,0,0.0485714285714285,2
30,3.0,0,1,15,4,0.3,2
38,5.0,3,1,16,4,-1.3,1
2,4.0,0,1,2,4,0.3499999999999999,1
7,3.142857142857143,2,1,3,4,0.1657142857142856,3
69,4.0,0,3,14,4,0.2,2
34,4.333333333333333,3,1,16,4,-0.535,0
48,4.25,0,1,2,4,0.41,2
21,5.0,3,2,9,0,-0.07,3
5,3.571428571428572,2,1,4,4,-0.0585714285714285,0
26,3.6666666666666665,1,1,8,4,0.3533333333333333,0
31,2.571428571428572,2,3,6,0,0.2171428571428571,0
7,4.5,2,1,3,4,0.0883333333333333,0
30,4.0,0,1,15,0,0.01,0
68,4.5,2,1,16,4,-0.09,3
56,4.6,2,1,3,4,-0.088,0
15,4.5,1,2,11,0,-0.065,3
72,5.5,0,2,5,1,0.16,0
43,4.571428571428571,2,2,9,0,-0.2342857142857142,1
14,4.666666666666667,0,1,7,4,0.0499999999999999,3
42,4.0,0,1,15,0,0.22,0
39,4.0,0,1,2,4,0.15,0
27,4.8,2,2,10,4,0.196,2
25,4.857142857142857,0,1,8,4,-0.0742857142857142,0
64,1.5,4,3,17,3,-0.45,3
6,4.428571428571429,0,2,5,0,-0.0299999999999999,0
37,3.6666666666666665,2,1,4,2,0.2166666666666666,3
29,4.625,0,1,3,4,0.35,1
61,4.666666666666667,0,3,14,4,0.33,2
31,7.0,1,3,6,0,-0.255,3
50,7.0,1,3,17,2,0.29,2
32,4.8,0,3,13,0,0.31,0
35,3.0,0,1,12,4,0.47,2
68,4.0,3,1,16,4,-0.7514285714285716,2
45,4.0,2,2,5,1,0.1824999999999999,0
21,4.0,0,2,9,1,0.22,0
33,3.6666666666666665,3,3,14,4,-0.0266666666666666,1
60,4.714285714285714,0,1,2,4,0.11,0
8,4.5,1,3,13,0,0.235,4
14,4.3,0,1,7,4,0.27,0
8,3.5,0,3,13,0,0.41,0
16,6.0,0,1,12,4,0.02,0
40,4.6,2,2,11,0,-0.154,1
13,4.0,0,1,2,4,0.11,0
37,3.8333333333333335,1,1,4,0,0.295,2
67,3.1666666666666665,0,1,7,4,0.0899999999999999,0
66,4.5,0,2,11,4,0.46,2
5,1.6,1,1,4,4,0.092,0
3,3.4,2,1,3,4,0.3419999999999999,1
58,2.833333333333333,0,1,7,4,0.13,2
58,3.4285714285714284,0,1,7,4,0.21,2
34,4.0,2,1,16,4,0.28,1
2,4.333333333333333,0,1,2,4,0.49,0
47,4.4,1,1,16,4,-0.408,0
31,3.5,0,1,12,4,0.11,0
3,3.5,2,1,3,4,0.0933333333333333,3
8,3.0,1,3,6,4,-0.1699999999999999,1
68,5.0,2,1,16,4,-0.0833333333333333,2
46,3.2,0,1,4,4,0.29,0
32,3.6666666666666665,2,3,13,0,-0.0133333333333333,0
67,2.8,0,1,7,4,0.24,3
2,4.5,0,1,2,4,0.3999999999999999,0
37,3.333333333333333,1,1,4,2,-0.2833333333333333,0
26,2.0,0,1,8,4,0.0,0
69,3.4,2,3,14,4,-0.0079999999999999,2
12,5.0,2,2,9,0,0.2979999999999999,3
34,3.6666666666666665,1,1,16,4,-0.4933333333333334,0
26,4.111111111111111,0,1,8,4,0.3233333333333333,2
39,4.5,0,1,2,4,0.09,0
52,3.75,2,3,14,4,0.3475,3
7,3.857142857142857,0,1,3,4,-0.0514285714285714,2
46,5.0,2,1,4,2,0.4175,0
27,3.0,3,2,10,1,-0.22,3
14,4.75,2,2,10,1,0.1375,0
63,4.5,2,2,11,4,0.09,3
28,3.333333333333333,2,3,14,4,0.1666666666666666,2
8,3.0,2,3,6,0,0.08,0
5,3.25,1,1,4,4,-0.4675,3
38,3.0,1,1,16,4,-0.18,0
65,5.0,1,3,17,3,-0.03,1
45,5.0,0,2,5,4,0.2,2
50,3.4,2,3,6,4,-0.076,2
48,5.0,0,1,2,4,0.0499999999999999,2
44,3.6,1,2,5,1,0.144,0
17,5.0,0,2,10,1,0.2985714285714285,1
40,4.0,0,2,11,0,0.22,3
28,2.7142857142857144,0,1,15,0,0.42,0
48,3.0,0,1,2,4,0.35,2
69,4.5,2,3,14,4,0.3,0
58,4.0,0,1,7,4,0.43,0
27,4.5,1,2,10,1,-0.095,2
52,3.2,0,1,15,4,0.44,0
51,1.5714285714285714,2,2,9,0,-0.0714285714285714,3
18,4.0,1,1,1,4,0.055,0
35,3.625,0,1,15,4,0.41,0
50,4.333333333333333,0,3,6,4,0.22,0
19,4.0,2,1,3,4,-0.0737499999999999,0
61,3.5,2,3,14,4,0.1066666666666666,0
19,4.166666666666667,2,1,3,4,0.3216666666666667,0
30,3.888888888888889,0,1,15,4,0.35,0
48,4.2,0,1,2,4,0.3199999999999999,2
58,2.8,0,1,7,4,0.38,0
4,3.75,1,1,1,4,-0.25,0
14,4.0,2,2,10,4,0.3033333333333333,0
61,4.0,2,3,14,4,0.1025,3
55,4.0,0,1,7,4,0.46,3
2,4.0,0,1,2,4,0.23,0
56,3.25,0,1,3,4,0.4475,2
31,4.0,0,1,12,4,0.42,1
70,4.2,3,1,16,4,-0.4040000000000001,2
1,5.142857142857143,2,1,1,4,-0.2199999999999999,2
22,4.333333333333333,2,1,1,4,0.0833333333333333,0
56,4.25,1,1,3,4,-0.31,0
65,3.0,3,3,17,1,-0.42,3
36,4.5,3,3,17,3,-0.38,3
51,4.2,1,2,9,0,-0.15,3
53,5.5,0,1,1,4,0.19,4
48,4.571428571428571,0,1,2,4,0.0,0
55,5.0,0,1,7,4,0.15,3
17,4.0,1,2,10,1,0.15,2
19,2.75,0,1,12,4,0.17,2
31,4.0,1,3,6,4,-0.0499999999999999,0
69,3.25,1,3,14,4,-0.1875,1
67,4.333333333333333,0,1,7,4,0.28,3
1,3.1666666666666665,2,1,1,4,0.2299999999999999,2
2,3.2857142857142856,0,1,2,4,0.39,0
17,2.0,1,2,10,0,-0.305,0
14,3.0,0,1,7,4,0.05,2
17,4.0,0,2,10,4,0.34,0
26,5.25,2,1,8,4,0.3924999999999999,3
68,5.25,4,1,16,4,-1.75,1
31,5.0,0,1,12,4,0.02,2
39,4.166666666666667,0,1,2,4,0.43,2
8,5.0,0,3,6,0,0.2299999999999999,0
67,4.2,0,1,7,4,0.32,3
14,3.0,1,2,10,4,-0.295,2
15,4.666666666666667,2,2,11,0,0.0466666666666666,0
28,3.4444444444444446,0,1,15,4,0.4,2
63,3.333333333333333,2,2,11,4,0.06,0
61,4.833333333333333,0,3,14,4,0.0999999999999999,0
37,4.0,2,1,4,4,0.09,2
39,3.5,0,1,2,4,0.32,0
8,3.8333333333333335,2,3,13,0,-0.1133333333333333,3
33,3.0,1,1,8,4,0.21,3
72,3.4,3,2,5,1,-0.26,2
66,3.0,0,2,11,0,0.33,1
26,3.6666666666666665,0,1,8,4,0.18,2
61,5.0,1,3,14,0,-0.2,0
16,4.428571428571429,0,1,12,4,0.37,0
18,5.666666666666667,2,1,1,4,0.2533333333333333,2
7,3.9166666666666665,2,1,3,4,-0.0133333333333333,0
35,3.8,0,1,15,0,0.4699999999999999,2
51,4.25,1,2,9,1,0.265,2
41,4.333333333333333,0,1,4,4,0.18,0
17,3.6,2,2,10,4,0.0359999999999999,0
53,4.428571428571429,0,1,1,4,-0.0399999999999999,0
58,4.0,2,2,10,4,0.1783333333333333,2
67,4.0,0,1,7,4,0.24,2
49,4.857142857142857,2,3,13,1,0.2528571428571428,0
52,3.25,0,3,14,4,0.21,1
28,5.0,0,3,14,4,0.16,2
19,3.1666666666666665,1,1,3,4,-0.2649999999999999,3
33,4.666666666666667,2,1,8,4,0.1666666666666666,2
56,5.0,1,1,3,4,-0.3722222222222222,2
68,4.2,3,1,16,4,-1.65,0
65,3.0,3,3,17,1,-0.86,2
48,3.333333333333333,0,1,2,4,0.3499999999999999,2
28,5.75,0,1,15,4,0.31,2
16,3.75,0,1,12,4,0.42,3
42,3.7142857142857135,0,1,15,0,0.35,0
22,4.2,2,1,1,4,0.24,2
32,4.4,1,3,13,0,-0.15,0
41,5.0,0,1,4,4,0.09,3
38,4.428571428571429,3,1,16,4,-1.0457142857142858,2
1,2.75,2,1,1,4,0.055,2
54,5.5,1,1,4,2,0.255,2
43,4.4,1,2,9,0,0.2599999999999999,0
53,4.75,2,1,1,4,0.1825,2
10,4.777777777777778,1,1,8,4,0.0533333333333333,0
4,5.2,2,1,1,4,0.33,0
16,5.111111111111111,2,3,6,0,0.3133333333333333,0
3,3.0,2,1,3,4,-0.0842857142857143,3
33,5.0,1,3,14,4,-0.2,0
70,4.25,4,1,16,4,-1.52,0
55,3.0,0,1,7,4,0.33,3
38,3.6666666666666665,2,1,16,4,0.4366666666666667,0
12,3.6666666666666665,1,2,9,0,-0.24,2
6,2.0,1,2,5,0,-0.305,2
42,3.75,0,1,15,4,0.37,2
57,5.0,1,2,10,4,-0.055,0
66,3.25,0,2,11,0,0.44,2
21,4.428571428571429,1,2,9,0,-0.2171428571428571,3
55,5.2,0,1,7,4,0.18,0
35,4.125,0,1,15,4,0.06,0
50,4.0,0,1,12,4,0.01,1
49,3.0,2,3,13,1,0.0228571428571428,2
66,5.333333333333333,2,2,11,2,0.01,2
50,5.0,3,3,17,1,-0.46,3
1,3.6666666666666665,2,1,1,4,0.3216666666666667,3
25,3.8333333333333335,2,1,8,4,0.0766666666666666,3
16,4.6,0,1,12,4,0.01,2
21,3.0,1,2,9,0,0.215,0
55,3.333333333333333,0,1,7,4,0.49,0
35,2.4,0,1,12,4,0.24,2
50,4.25,2,3,6,4,0.225,0
37,3.75,1,1,4,1,-0.24,2
23,4.333333333333333,0,3,13,2,0.07,2
19,3.75,0,1,12,4,0.02,3
42,3.727272727272727,0,1,15,0,0.4,2
69,3.333333333333333,0,3,14,0,0.03,2
41,1.5,1,1,4,4,0.12,2
68,4.571428571428571,1,1,16,4,-0.7957142857142857,2
70,4.2,1,1,16,4,-0.388,0
28,5.333333333333333,2,3,14,0,0.3766666666666666,1
45,4.0,0,2,5,0,0.32,3
65,4.333333333333333,1,3,17,2,-0.1249999999999999,0
40,4.666666666666667,2,2,11,0,0.29,2
27,5.75,0,2,10,4,0.09,2
58,3.5,2,2,10,4,0.2875,3
23,4.5,0,3,13,1,0.14,1
4,4.75,1,1,1,4,0.32,0
15,5.0,0,2,11,4,0.1785714285714285,0
52,3.5,2,3,14,0,0.1933333333333333,3
5,4.0,2,1,4,4,0.29,3
23,3.25,2,3,13,1,0.3,0
5,4.333333333333333,2,1,4,2,-0.0266666666666666,2
22,5.333333333333333,2,1,1,4,-0.1233333333333333,0
28,4.0,0,1,15,4,0.32,3
8,4.6,2,3,13,0,-0.11,0
29,4.0,0,1,3,4,0.0,3
54,4.5,0,1,4,1,0.21,3
72,4.5,3,2,5,4,-0.6,3
18,3.857142857142857,1,1,1,4,-0.16,2
28,4.25,2,3,14,4,0.23,0
30,2.5,0,1,15,4,0.38,3
13,3.6,0,1,2,4,0.44,3
23,4.25,2,3,13,0,0.3475,0
60,4.5,0,1,2,4,0.33,3
32,3.8333333333333335,2,3,13,2,0.0116666666666666,0
7,4.5,2,1,3,4,0.045,2
16,4.857142857142857,0,1,12,4,0.42,0
57,3.75,0,2,10,4,0.46,0
50,5.0,0,3,6,4,0.342,0
63,5.0,0,2,11,4,0.42,3
14,5.5,1,2,10,4,-0.215,3
19,5.0,0,1,3,4,0.28,0
49,3.75,0,3,13,0,0.49,0
64,4.333333333333333,3,3,17,1,0.0466666666666666,2
18,7.0,0,1,1,4,0.12,2
52,3.25,0,1,15,0,0.29,0
1,5.0,0,1,1,4,0.41,0
14,5.2,2,2,10,4,-0.268,3
60,3.8,0,1,2,4,0.02,3
11,5.333333333333333,2,2,5,0,0.0333333333333333,0
35,4.5,0,1,12,4,0.06,2
57,4.5,0,2,10,1,0.09,1
14,3.6666666666666665,1,2,10,4,0.1166666666666666,0
11,3.5,0,2,5,0,0.28,2
16,4.6,0,1,12,4,0.45,2
24,3.6,1,3,6,0,-0.408,2
66,3.4,2,2,11,0,-0.026,0
18,3.6,2,1,1,4,0.296,2
5,4.5,0,1,4,1,0.42,2
69,4.142857142857143,0,3,14,4,-0.0514285714285714,0
24,2.6666666666666665,2,3,6,2,-0.0666666666666666,0
37,4.666666666666667,2,1,4,2,-0.0133333333333333,2
68,5.166666666666667,1,1,16,4,-1.28,0
28,5.0,2,3,14,0,0.0074999999999999,0
70,3.571428571428572,2,1,16,4,-0.5271428571428572,2
8,4.0,0,3,13,2,0.27,1
1,4.166666666666667,0,1,1,4,0.12,0
49,4.666666666666667,2,3,13,0,0.2883333333333333,2
71,5.0,1,3,17,2,0.17,1
46,4.6,2,1,4,4,0.308,3
64,6.5,1,3,17,1,-0.27,2
61,3.0,0,3,14,0,0.48,0
27,4.6,2,2,10,4,-0.2159999999999999,0
60,5.25,0,1,2,4,0.37,0
1,5.4,2,1,1,4,0.24,1
62,3.6,0,2,9,0,0.36,0
64,5.0,3,3,17,2,-0.4166666666666667,3
41,3.142857142857143,0,1,4,1,0.0685714285714285,3
16,4.0,1,3,6,0,-0.0474999999999999,2
52,3.75,1,3,14,4,-0.015,2
52,4.75,0,1,15,0,0.47,3
50,4.4,1,3,6,4,0.08,2
14,3.8,0,2,10,1,0.28,0
51,3.25,1,2,9,1,-0.1937499999999999,2
72,2.6666666666666665,0,2,5,4,0.05,2
13,4.0,0,1,2,4,0.16,3
30,4.0,0,1,15,4,0.46,0
7,3.5,2,1,3,4,-0.0999999999999999,0
44,4.5,0,2,5,4,0.01,2
8,4.666666666666667,3,3,13,0,-0.28,1
40,4.0,2,2,11,0,0.0233333333333333,3
64,6.0,3,3,17,3,-0.43,0
33,2.5,2,3,14,4,0.1825,3
37,2.6,0,1,4,2,0.17,0
30,2.8,0,1,15,4,0.24,0
12,4.4,2,2,9,1,0.15,1
9,5.0,0,1,7,4,0.47,1
58,2.5,0,1,7,4,0.27,2
31,3.0,0,1,12,4,0.41,0
28,4.0,2,3,14,4,0.07,2
2,3.0,0,1,2,4,0.3,0
28,4.0,2,3,14,4,0.0966666666666666,3
70,3.333333333333333,4,1,16,4,-2.526666666666667,3
27,3.5,1,2,10,4,-0.0525,2
22,4.0,2,1,1,4,0.055,3
8,4.0,2,3,13,0,-0.045,0
52,3.6666666666666665,0,1,15,4,0.3499999999999999,3
54,3.25,1,1,4,4,-0.2,0
60,4.6,0,1,2,4,0.49,2
35,3.0,0,1,15,4,0.3999999999999999,3
61,4.25,2,3,14,4,0.2262499999999999,0
40,4.5,1,2,11,4,-0.12,0
28,2.6666666666666665,1,3,14,4,-0.1266666666666666,0
27,3.6666666666666665,2,2,10,4,0.0699999999999999,0
46,4.0,0,1,4,2,0.15,3
8,4.8,2,3,6,4,0.076,2
21,3.333333333333333,0,2,9,1,0.36,3
37,4.444444444444445,1,1,4,2,-0.1133333333333333,2
53,5.333333333333333,2,1,1,4,0.18,2
22,4.0,1,1,1,4,-0.145,3
26,3.0,0,1,8,4,0.37,3
30,5.5,0,1,15,4,0.34,3
35,4.5,0,1,12,4,0.2,0
54,4.0,1,1,4,2,0.24,2
13,3.6666666666666665,0,1,2,4,0.29,1
38,4.75,2,1,16,4,0.0749999999999999,3
72,0.0,3,2,5,1,-0.33,1
8,4.0,0,3,13,2,0.04,0
36,4.0,1,3,17,2,0.09,0
5,5.333333333333333,2,1,4,0,-0.0033333333333333,2
35,4.833333333333333,0,1,12,4,0.48,0
25,5.25,1,1,8,4,-0.175,0
20,5.0,0,2,11,0,0.13,3
55,4.5,0,1,7,4,0.05,1
8,4.4,0,3,13,0,0.48,2
21,3.6,2,2,9,0,0.018,0
32,4.166666666666667,1,3,13,0,-0.0133333333333333,2
13,5.0,0,1,2,4,0.18,0
33,5.0,0,3,14,0,0.27,1
63,4.5,1,2,11,0,0.0649999999999999,0
32,4.333333333333333,2,3,13,0,-0.0766666666666666,2
25,4.0,1,1,8,4,-0.025,1
1,1.75,0,1,1,4,0.09,0
48,4.666666666666667,0,1,2,4,0.31,3
53,4.5,0,1,1,4,0.09,2
65,5.0,3,3,17,1,-0.2249999999999999,2
43,4.0,2,2,9,1,0.29,0
14,3.0,0,1,7,4,0.31,3
66,5.6,3,2,11,4,-0.4899999999999999,2
45,5.5,1,2,5,4,-0.2799999999999999,4
31,3.0,0,1,12,4,0.25,0
2,4.0,0,1,2,4,0.15,3
12,3.5,1,2,9,0,0.145,2
50,4.0,0,1,12,4,0.49,3
69,3.333333333333333,2,3,14,4,-0.04,2
6,3.333333333333333,2,2,5,4,-0.21,2
59,4.714285714285714,0,3,13,0,0.4085714285714286,3
60,3.333333333333333,0,1,2,4,0.41,0
46,3.8,2,1,4,4,0.184,0
72,4.0,2,2,5,0,0.2779999999999999,2
28,4.0,1,3,14,4,0.335,3
35,5.0,0,1,15,4,0.19,3
21,4.0,0,2,9,0,0.1,2
48,5.0,0,1,2,4,0.28,0
34,5.0,1,1,16,4,-0.482,0
39,4.666666666666667,0,1,2,4,0.13,2
6,3.5,2,2,5,4,0.2525,3
42,4.142857142857143,0,1,15,4,0.3999999999999999,3
35,3.4,0,1,15,4,0.49,2
33,2.75,2,3,14,0,0.4049999999999999,0
45,4.0,0,2,5,1,0.19,4
8,2.7142857142857144,2,3,6,4,-0.0257142857142857,2
25,4.25,2,1,8,4,0.0424999999999999,2
15,4.666666666666667,1,2,11,4,-0.11,0
44,4.666666666666667,1,2,5,0,-0.1,2
33,5.0,0,1,8,4,0.08,2
69,5.4,2,3,14,4,0.2779999999999999,0
26,4.666666666666667,2,1,8,4,0.18,2
22,3.333333333333333,1,1,1,4,-0.24,1
14,3.6,0,1,7,4,0.28,0
58,4.666666666666667,2,2,10,4,-0.1366666666666667,1
57,5.666666666666667,2,2,10,4,0.1066666666666666,0
10,3.8333333333333335,3,1,8,4,-0.415,0
19,5.0,0,1,12,4,0.22,0
18,3.25,2,1,1,4,-0.085,1
59,3.5,2,3,13,0,0.1333333333333333,2
68,4.4,3,1,16,4,-1.184,2
26,4.0,3,1,8,4,-0.02,2
14,4.0,0,2,10,4,0.12,1
26,3.6666666666666665,1,1,8,4,0.2299999999999999,0
18,4.333333333333333,1,1,1,4,-0.16,0
19,4.0,0,1,12,4,0.25,0
9,3.4,0,1,7,4,0.02,2
55,3.0,0,1,7,4,0.05,1
49,2.75,1,3,13,0,0.305,2
63,5.75,0,2,11,2,0.31,3
50,4.0,1,3,17,2,0.03,3
67,4.0,0,1,7,4,0.12,2
49,4.142857142857143,0,3,13,0,0.3428571428571428,2
19,3.5,1,1,3,4,-0.0133333333333333,0
63,4.75,1,2,11,0,0.0374999999999999,0
31,4.0,0,1,12,4,0.3699999999999999,0
6,2.5,1,2,5,4,0.025,0
70,5.333333333333333,1,1,16,4,-0.9366666666666666,0
39,4.5,0,1,2,4,0.12,0
28,4.666666666666667,2,3,14,4,0.12,3
35,4.0,0,1,15,4,0.44,2
49,3.4,1,3,13,1,-0.344,1
40,3.75,1,2,11,2,0.16,3
8,3.6666666666666665,2,3,13,0,-0.0033333333333333,3
53,3.75,2,1,1,4,0.0774999999999999,3
63,2.0,2,2,11,0,0.01,2
2,6.0,0,1,2,4,0.06,2
59,3.6666666666666665,2,3,13,0,0.445,2
38,4.0,0,1,16,4,0.31,3
38,4.5,3,1,16,4,-0.96,0
31,3.6,1,3,6,0,0.1599999999999999,2
15,3.333333333333333,0,2,11,0,0.04,0
14,4.5,2,2,10,4,0.2774999999999999,3
4,4.5,2,1,1,4,0.1725,0
58,5.5,3,2,10,4,0.17,1
19,3.8,2,1,3,4,0.178,2
23,3.75,2,3,13,0,0.3349999999999999,0
48,2.6666666666666665,0,1,2,4,0.25,3
70,4.0,3,1,16,4,-1.94,3
43,6.0,3,2,9,0,0.02,2
68,4.0,3,1,16,4,-1.5499999999999998,3
50,3.6666666666666665,3,3,17,2,-0.1033333333333333,3
51,4.6,2,2,9,1,0.042,2
33,2.5,0,1,8,4,0.07,0
68,3.6666666666666665,2,1,16,4,0.1533333333333333,2
2,6.0,0,1,2,4,0.16,2
50,5.0,3,3,17,2,0.005,2
52,2.6,0,3,14,4,0.13,3
59,4.0,0,3,13,2,0.23,2
11,4.0,0,2,5,1,0.08,2
53,2.5,3,1,1,4,-0.22,0
21,4.5,2,2,9,0,-0.1425,0
62,3.333333333333333,2,2,9,0,0.1533333333333333,3
50,2.6666666666666665,3,3,17,2,0.1133333333333333,0
51,4.0,2,2,9,1,0.35,2
69,1.0,0,3,14,4,0.12,2
4,3.625,2,1,1,4,0.1124999999999999,0
36,5.0,3,3,17,2,0.235,3
67,4.333333333333333,0,1,7,4,0.02,2
17,4.5,1,2,10,4,0.055,3
27,3.5,1,2,10,4,-0.055,1
67,5.333333333333333,0,1,7,4,0.44,0
56,4.166666666666667,2,1,3,4,0.17,2
57,5.0,2,2,10,0,0.3533333333333333,2
4,5.25,1,1,1,4,0.0,0
50,5.0,0,1,12,4,0.29,2
12,4.5,3,2,9,0,-0.47,2
12,4.25,0,2,9,1,0.03,1
58,3.0,0,1,7,4,0.04,3
63,4.0,2,2,11,0,0.37,0
54,4.4,2,1,4,4,0.308,3
33,4.0,2,1,8,4,0.3899999999999999,3
14,4.25,0,1,7,4,0.38,0
69,4.5,0,3,14,4,0.05,1
58,6.333333333333333,2,2,10,4,0.2666666666666666,1
39,2.0,0,1,2,4,0.08,2
45,3.0,2,2,5,4,-0.0133333333333333,2
54,3.5,1,1,4,4,-0.025,0
24,3.142857142857143,0,3,6,4,-0.0514285714285714,3
23,4.6,2,3,13,0,-0.002,2
49,4.25,1,3,13,0,-0.32,0
46,5.0,0,1,4,2,0.13,1
49,4.5,2,3,13,0,0.2649999999999999,2
65,6.0,1,3,17,2,-0.25,2
30,4.25,0,1,15,0,0.46,0
15,4.2,2,2,11,0,0.24,1
37,4.5,0,1,4,0,0.23,3
42,4.857142857142857,0,1,15,4,0.5,0
35,4.5,0,1,12,4,0.12,0
64,3.0,3,3,17,2,-0.03,2
23,5.2,2,3,13,0,0.2979999999999999,0
38,3.0,0,1,16,4,0.12,3
64,3.5,3,3,17,2,-0.455,2
18,3.5,2,1,1,4,0.195,0
34,5.0,0,1,16,4,0.47,2
50,3.6,0,1,12,4,0.01,0
32,5.25,0,3,13,0,0.34,1
61,3.333333333333333,1,3,14,4,-0.1533333333333333,2
36,3.0,4,3,17,1,-1.33,4
32,2.8,0,3,13,2,0.12,0
8,3.5,1,3,13,2,-0.2,2
35,4.25,0,1,15,4,0.31,3
27,3.333333333333333,1,2,10,0,-0.2833333333333333,3
26,4.666666666666667,0,1,8,4,0.0,3
35,4.0,0,1,12,4,0.16,0
64,5.0,3,3,17,2,-0.5033333333333334,3
55,4.0,0,1,7,4,0.04,3
24,2.6666666666666665,1,3,6,0,0.2466666666666666,0
9,4.0,0,1,7,4,0.48,2
26,5.0,1,1,8,4,0.1766666666666666,0
53,2.6666666666666665,2,1,1,4,0.1566666666666666,3
3,3.5,2,1,3,4,0.265,3
20,4.125,2,2,11,4,-0.25125,0
64,4.0,3,3,17,2,0.19,2
9,3.6666666666666665,0,1,7,4,0.1,1
15,4.4,2,2,11,4,0.2019999999999999,3
34,4.5,4,1,16,4,-2.55,3
62,5.0,0,2,9,1,0.37,3
39,4.5,0,1,2,4,0.06,2
64,5.0,3,3,17,1,-0.6699999999999999,3
50,2.0,0,3,6,0,0.09,3
64,4.0,3,3,17,1,-0.535,1
13,3.6666666666666665,0,1,2,4,0.49,1
45,4.8,1,2,5,0,0.05,2
44,4.666666666666667,1,2,5,4,-0.1533333333333333,3
21,6.0,1,2,9,1,0.14,3
60,4.2,0,1,2,4,0.09,0
14,4.333333333333333,3,2,10,4,-0.22,3
47,1.3333333333333333,3,1,16,4,-1.1266666666666667,0
25,4.4,2,1,8,4,-0.102,3
72,4.333333333333333,2,2,5,0,0.06,4
26,2.0,1,1,8,4,-0.255,0
55,5.0,0,1,7,4,0.0,3
47,5.0,1,1,16,4,-0.8975,2
20,4.666666666666667,2,2,11,0,0.01,0
67,3.5,0,1,7,4,0.06,3
14,4.0,0,1,7,4,0.17,0
7,4.857142857142857,1,1,3,4,-0.2842857142857143,0
12,5.5,1,2,9,0,-0.135,2
57,3.6666666666666665,2,2,10,4,0.0783333333333333,0
32,3.0,0,3,13,0,0.49,3
6,7.0,0,2,5,4,0.22,0
5,5.0,0,1,4,2,0.28,3
27,4.5,0,2,10,4,0.35,2
53,2.0,1,1,1,4,0.185,1
44,2.5,1,2,5,4,-0.145,0
16,3.0,0,1,12,4,0.1,2
33,3.0,0,3,14,4,0.27,0
31,5.4,0,1,12,4,0.21,3
39,3.7142857142857135,0,1,2,4,0.01,0
15,5.25,1,2,11,4,-0.12,3
1,3.4,1,1,1,4,0.0179999999999999,0
55,3.0,0,1,7,4,0.18,3
8,4.0,0,3,6,4,0.38,2
